,model.conv2.0,model.conv2.1,model.conv31,model.conv32,model.conv33,model.conv34.0,model.conv34.1,model.conv41,model.conv42.0,model.conv42.1,model.conv43,model.conv44.0,model.conv44.1,model.conv45.0,model.conv45.1,model.conv46.0,model.conv46.1
0.1,0.3680829107761383,0.3589933216571808,0.0,0.0,0.05198098346590996,0.47781074047088623,0.558802604675293,0.08616714924573898,0.0942889153957367,0.7776520252227783,0.15082478523254395,0.7749477624893188,0.8174179196357727,0.7931842803955078,0.4437304735183716,0.2575938403606415,0.3001430034637451
0.2,0.6510313749313354,0.9204822182655334,0.16713055968284607,0.3759213387966156,0.26194101572036743,0.5968176126480103,0.8500580191612244,0.43218451738357544,0.3437539339065552,0.8446393013000488,0.39522236585617065,0.8249470591545105,0.7927316427230835,0.7688366174697876,0.4711313545703888,0.771898090839386,0.3337109684944153
0.3,0.9010095596313477,0.9384584426879883,0.40172284841537476,0.5306706428527832,0.48384541273117065,0.6811172962188721,0.913313090801239,0.687206506729126,0.6248647570610046,0.9119865298271179,0.6542202234268188,0.8619773387908936,0.915191650390625,0.5120874643325806,0.7574126720428467,0.9190239906311035,0.14957615733146667
0.4,0.9430764317512512,0.9468456506729126,0.7605342864990234,0.779568076133728,0.76115882396698,0.8071612119674683,0.9405639171600342,0.8833016157150269,0.862730860710144,0.9409523010253906,0.8616887331008911,0.8904719352722168,0.9183453321456909,0.8777385950088501,0.9382731914520264,0.9425457715988159,0.752221941947937
0.5,0.9475380182266235,0.9510893225669861,0.869384765625,0.8992621898651123,0.8846443891525269,0.883858859539032,0.9473906755447388,0.9219132661819458,0.9040027856826782,0.9469935297966003,0.9043698310852051,0.9271886348724365,0.9465005397796631,0.9462813138961792,0.9444652795791626,0.9519917964935303,0.8819361329078674
0.6,0.9508213400840759,0.9521876573562622,0.6898075342178345,0.9143019914627075,0.9087535738945007,0.9218682050704956,0.9503599405288696,0.9409856796264648,0.9242881536483765,0.952686071395874,0.9237008690834045,0.9436558485031128,0.9471002817153931,0.9533848762512207,0.9498881697654724,0.9530246257781982,0.8732188940048218
0.7,0.9526659250259399,0.9520856142044067,0.9093611240386963,0.9333146810531616,0.9309849739074707,0.9436824917793274,0.951383650302887,0.9430612325668335,0.9432996511459351,0.9511597752571106,0.9463304281234741,0.9497926235198975,0.9488953351974487,0.9527642726898193,0.9515328407287598,0.9527642726898193,0.9480285048484802
0.8,0.9515735507011414,0.9522862434387207,0.9403793811798096,0.9348734021186829,0.9382051229476929,0.949113130569458,0.9529492855072021,0.9491268396377563,0.9491537809371948,0.9529610872268677,0.9504259824752808,0.9514641761779785,0.9509819746017456,0.9527642726898193,0.9521965384483337,0.9527642726898193,0.9470959901809692
0.9,0.9527642726898193,0.9526643753051758,0.9481600522994995,0.9494321346282959,0.9425210952758789,0.9533513784408569,0.9530166983604431,0.9519627690315247,0.952362060546875,0.952698826789856,0.951812744140625,0.9527642726898193,0.9530849456787109,0.9527642726898193,0.9524024128913879,0.9527642726898193,0.9500100612640381
