,model.conv1.1,model.conv2.0,model.conv2.1,model.conv31,model.conv32.0,model.conv32.1,model.conv33,model.conv34.0,model.conv34.1,model.conv41,model.conv42.0,model.conv42.1,model.conv43.0,model.conv43.1,model.conv44.0,model.conv44.1,model.conv45.0,model.conv45.1,model.conv46.0,model.conv46.1
0.1,0.41325798630714417,0.3488571345806122,0.4537496268749237,0.0,0.015706805512309074,0.04021516442298889,0.04500000178813934,0.05384615808725357,0.5505393147468567,0.05000000074505806,0.42342105507850647,0.19839444756507874,0.3014354109764099,0.015706805512309074,0.605976939201355,0.5138981342315674,0.5281869173049927,0.3176470696926117,0.8602907061576843,0.4000000059604645
0.2,0.4174272418022156,0.7437352538108826,0.8058258891105652,0.19758065044879913,0.23344947397708893,0.6784301996231079,0.26941657066345215,0.5971104502677917,0.7923034429550171,0.7038518190383911,0.7213828563690186,0.7358348369598389,0.39912649989128113,0.3633802831172943,0.6941986083984375,0.755266547203064,0.730059027671814,0.26582279801368713,0.858508825302124,0.40246912837028503
0.3,0.43722429871559143,0.7619338035583496,0.8358389139175415,0.29574424028396606,0.627383828163147,0.7886557579040527,0.3362831771373749,0.6252925992012024,0.8234711289405823,0.6276944875717163,0.7746556401252747,0.7988089323043823,0.5304644703865051,0.6472287178039551,0.811585545539856,0.8047143220901489,0.8331162929534912,0.323699414730072,0.886400580406189,0.40096619725227356
0.4,0.8170480132102966,0.8315842747688293,0.8669068813323975,0.6454591751098633,0.6778279542922974,0.8244099617004395,0.6380139589309692,0.7016893625259399,0.8537381887435913,0.8219143748283386,0.7790409326553345,0.8533743619918823,0.6905447244644165,0.7859454154968262,0.8517502546310425,0.8801816701889038,0.8819533586502075,0.3463687002658844,0.8781261444091797,0.847407341003418
0.5,0.8116211891174316,0.8660726547241211,0.874174177646637,0.5723451375961304,0.8039132952690125,0.870683491230011,0.8078711032867432,0.8090471029281616,0.8548636436462402,0.8579068183898926,0.7830339670181274,0.863057017326355,0.8110120296478271,0.8318246006965637,0.8558036088943481,0.8749278783798218,0.8884173631668091,0.7947419881820679,0.8800024390220642,0.8825856447219849
0.6,0.8045831918716431,0.8711711764335632,0.865561842918396,0.8423976302146912,0.8459314107894897,0.8738856315612793,0.7896592020988464,0.8104826807975769,0.8564063906669617,0.8495829105377197,0.821906328201294,0.8516969680786133,0.8472870588302612,0.8526014685630798,0.8601190447807312,0.8797587752342224,0.8840181827545166,0.803504228591919,0.8835815191268921,0.8776111602783203
0.7,0.849062442779541,0.8777575492858887,0.8761230707168579,0.8650869131088257,0.8697900772094727,0.8722051382064819,0.8250003457069397,0.8541284799575806,0.8612688779830933,0.8554751873016357,0.8606249094009399,0.8590720891952515,0.8543069362640381,0.8538306355476379,0.8755985498428345,0.8806157112121582,0.8835815191268921,0.7816480398178101,0.8835815191268921,0.8820236325263977
0.8,0.8422242403030396,0.8784457445144653,0.8748518228530884,0.859882116317749,0.8760353326797485,0.8727927803993225,0.8571127653121948,0.8654007911682129,0.8726044297218323,0.8681061863899231,0.8664805889129639,0.8547308444976807,0.8694064021110535,0.8673046231269836,0.874309778213501,0.8710689544677734,0.8835815191268921,0.8652101755142212,0.8835815191268921,0.8776900172233582
0.9,0.8896558284759521,0.8835815191268921,0.8788770437240601,0.8747520446777344,0.8750463724136353,0.8728287816047668,0.8671068549156189,0.8749228715896606,0.8780097961425781,0.8819376230239868,0.8791859745979309,0.878882646560669,0.8811339139938354,0.8739845752716064,0.8835815191268921,0.8772993087768555,0.8835815191268921,0.8645833730697632,0.8835815191268921,0.8808932900428772
