,model.conv1.1,model.conv2.0,model.conv2.1,model.conv31,model.conv32,model.conv33,model.conv34.0,model.conv34.1,model.conv41,model.conv42.0,model.conv42.1,model.conv43,model.conv44.0,model.conv44.1,model.conv45.0,model.conv45.1,model.conv46.0,model.conv46.1
0.1,0.48711514472961426,0.3302525281906128,0.4013592004776001,0.0017275451682507992,0.013548723421990871,0.10866918414831161,0.504591703414917,0.7064104080200195,0.026154540479183197,0.5147882699966431,0.7661550045013428,0.08789083361625671,0.7629940509796143,0.7975198030471802,0.7891014814376831,0.45775043964385986,0.7281050682067871,0.48346367478370667
0.2,0.47478213906288147,0.7187612056732178,0.9065325260162354,0.050179846584796906,0.587692141532898,0.48930197954177856,0.6070276498794556,0.8850798606872559,0.5138509273529053,0.7488263845443726,0.8417967557907104,0.6671360731124878,0.8042358160018921,0.829094648361206,0.8577898740768433,0.47714561223983765,0.7759765982627869,0.46809959411621094
0.3,0.8606156706809998,0.933580756187439,0.9388415813446045,0.19313457608222961,0.7095791101455688,0.4998970925807953,0.7194660902023315,0.941799521446228,0.8520553112030029,0.8367018699645996,0.923542320728302,0.8541921377182007,0.8595806360244751,0.9330078363418579,0.8903425931930542,0.7488822937011719,0.925482988357544,0.5541295409202576
0.4,0.8591923713684082,0.9470784068107605,0.9523192644119263,0.7778178453445435,0.7974184155464172,0.8195663094520569,0.8343666791915894,0.9500983357429504,0.8916347622871399,0.8574303388595581,0.9436500072479248,0.8792484998703003,0.8903224468231201,0.9490357637405396,0.9044679999351501,0.9470928907394409,0.947813868522644,0.6335111856460571
0.5,0.8998607397079468,0.9530447721481323,0.9561901092529297,0.919650673866272,0.904578685760498,0.865638256072998,0.8788309097290039,0.953423261642456,0.9244958758354187,0.9067317247390747,0.9535188674926758,0.9030665755271912,0.9418718814849854,0.954371452331543,0.9563519954681396,0.956260085105896,0.9562863707542419,0.9468876719474792
0.6,0.9176112413406372,0.9560843110084534,0.9552243947982788,0.9199872612953186,0.9236781597137451,0.9165502786636353,0.9404662847518921,0.9576123952865601,0.9360072612762451,0.9394335150718689,0.9558762311935425,0.9331401586532593,0.9504671692848206,0.957160472869873,0.9574353694915771,0.955996036529541,0.956737756729126,0.9472078084945679
0.7,0.9210880994796753,0.9566078186035156,0.955506443977356,0.9297174215316772,0.9402552843093872,0.9251765012741089,0.9501278400421143,0.9563360214233398,0.9477971792221069,0.9474782943725586,0.9569594860076904,0.9434726238250732,0.9512754678726196,0.9566487669944763,0.9569131135940552,0.9576174020767212,0.9569131135940552,0.9543006420135498
0.8,0.9547917246818542,0.9560350179672241,0.9570635557174683,0.9434188008308411,0.9474562406539917,0.946143627166748,0.9565057158470154,0.9567877054214478,0.9531869888305664,0.9526300430297852,0.9565309882164001,0.9544227719306946,0.9529515504837036,0.9569131135940552,0.9569131135940552,0.9557584524154663,0.9569131135940552,0.9554827213287354
0.9,0.9556527137756348,0.9570679664611816,0.9569934606552124,0.9496499300003052,0.9525558948516846,0.9554507732391357,0.9561992883682251,0.9569934606552124,0.9588482975959778,0.9530758261680603,0.9567774534225464,0.9559458494186401,0.9569131135940552,0.9569131135940552,0.9569131135940552,0.9588735103607178,0.9569131135940552,0.9555174112319946
